Element	LineName	Orientation	Position
IS1	M2m-83	-	2880158
IS1	M40-16	+	2901282
IS1	M180-90	-	2980363
IS1	M35-013	+	2985438
IS1	M180-01	+	3005309
IS1	M133-097	+	3028965
IS1	M40-51	+	3030853
IS1	mutL15	+	3077317
IS1	mutL75	-	3119617
IS1	M6-1	-	3134179
IS1	M101-077	+	3144682
IS1	M88-31	-	3165634
IS1	wt42	-	3165745
IS1	M88-27	+	3170473
IS1	M88-49	+	3183240
IS1	wt-12	-	3188661
IS1	M2m-35	+	3251332
IS1	M180-19	+	3263727
IS1	M91-08	+	3292196
IS1	M40-47	-	3319577
IS1	M88-36	+	3346660
IS1	M22-64	+	3359599
IS1	M101-081	+	3436016
IS1	wt16	+	3455186
IS1	M35-013	+	3579410
IS1	M91-69	+	3579448
IS1	M94-10	+	3579491
IS1	M40-28	+	3579505
IS1	M2m-39	+	3579510
IS1	M180-90	+	3579525
IS1	M101-043	+	3579625
IS1	M133-093	+	3579643
IS1	M133-105	+	3579941
IS1	M88-63	+	3579974
IS1	M101-049	+	3580043
IS1	M91-28	+	3580420
IS1	M88-50	+	3580566
IS1	M2m-92	-	3580582
IS1	M94-39	+	3582780
IS1	M88-08	-	3595996
IS1	wt71	+	3631241
IS1	M133-022	-	3633174
IS1	M94-51	+	3669487
IS1	M2m-38	-	3672012
IS1	wt-62	-	3706523
IS1	M2m-83	-	3724195
IS1	M180-77	-	3724785
IS1	M88-16	-	3767039
IS1	M101-009	-	3767663
IS1	M101-005	-	3767988
IS1	M35-009	-	3795444
IS1	M40-33	+	3798227
IS1	M2m-04	+	3799251
IS1	M2m-93	-	3803049
IS1	M101-083	+	3851135
IS1	M101-083	+	3859998
IS1	M40-45	+	3887994
IS1	mutL36	-	3914303
IS1	M133-111	+	3984410
IS1	wt93	-	4001320
IS1	M101-061	+	4059991
IS1	M6-24	+	4077818
IS1	M101-079	+	4084986
IS1	M133-093	-	4085987
IS1	M94-17	-	4086695
IS1	M88-45	+	4090966
IS1	M180-62	+	4111500
IS1	M88-76	-	4119933
IS1	M88-33	+	4219036
IS1	M91-22	+	4220056
IS1	M101-069	-	4220952
IS1	M180-34	+	4233547
IS1	M133-009	+	4248632
IS1	M40-64	+	4258555
IS1	M133-022	+	4258719
IS1	M101-097	-	4275133
IS1	M101-043	-	4280003
IS1	M101-012	-	4280920
IS1	M88-75	-	4333405
IS1	M133-054	+	4350160
IS1	M40-62	+	4359339
IS1	M40-41	+	4381840
IS1	wt83	-	4410383
IS1	M35-048	+	4457272
IS1	M35-013	+	4495303
IS1	M88-46	-	4495844
IS1	M133-111	+	4524185
IS1	M101-061	-	4538681
IS1	M88-46	-	4539894
IS1	M101-079	-	4567036
IS1	wt-66	+	4597007
IS1	M133-001	-	4604005
IS1	M35-013	+	4609115
IS150	wt-62	+	3720098
IS150	M2m-04	+	4596946
IS186	M133-095	-	272215
IS186	M35-026	-	272216
IS186	M88-19	-	272216
IS186	M91-35	+	272216
IS186	M88-43	+	357276
IS186	M133-003	+	458017
IS186	M35-078	+	458017
IS186	M101-015	-	730884
IS186	M101-005	+	838455
IS186	M101-033	-	838456
IS186	M40-47	+	838456
IS186	M91-06	-	838456
IS186	M2m-38	-	944137
IS186	M133-081	-	944138
IS186	M35-076	+	1201171
IS186	M2m-44	-	1237442
IS186	M2m-28	+	1301341
IS186	M2m-14	+	1349224
IS186	M2m-93	+	1391483
IS186	M40-51	+	1501223
IS186	M2m-93	-	1716536
IS186	M35-099	-	2011383
IS186	wt-63	+	2151686
IS186	M35-026	+	2295405
IS186	M133-011	+	2306776
IS186	M2m-47	+	2370465
IS186	M35-004	+	2373851
IS186	M133-007	-	2373852
IS186	M2m-26	+	2373852
IS186	M2m-32	-	2373852
IS186	M2m-33	-	2373852
IS186	M2m-43	-	2373852
IS186	M35-051	-	2373852
IS186	M40-36	-	2373852
IS186	M88-19	+	2373852
IS186	M91-35	+	2373852
IS186	wt92	-	2373852
IS186	M88-18	-	2599808
IS186	M2m-12	-	2599809
IS186	wt-41	-	2599809
IS186	M35-016	+	2836343
IS186	M2m-09	-	2953118
IS186	M2m-79	+	2953118
IS186	M91-20	-	2953118
IS186	wt-44	+	2953118
IS186	M133-101	+	2953119
IS186	M101-017	-	3075738
IS186	M35-048	+	3075739
IS186	M88-64	-	4231417
IS186	M2m-39	-	4432836
IS186	M133-115	-	4438272
IS186	M101-019	+	4541633
IS186	M101-073	+	4541633
IS186	M2m-18	-	4541633
IS186	M2m-78	+	4541633
IS186	M40-36	+	4541633
IS186	M40-72	+	4541633
IS186	M6-19	-	4541633
IS186	M91-06	+	4541633
IS186	M101-005	-	4541634
IS186	M133-001	+	4541634
IS186	M2m-51	-	4541634
IS186	M35-099	-	4541634
IS186	M88-32	+	4541634
IS186	M91-27	+	4541634
IS186	wt-06	-	4541634
IS186	wt-62	-	4541634
IS186	M101-063	+	4628606
IS2	M133-050	+	292152
IS2	M88-17	+	310225
IS2	M133-061	-	344127
IS2	M133-018	+	562856
IS2	M101-083	+	563142
IS2	M88-44	-	569302
IS2	M22-03	+	570267
IS2	M91-01	-	571223
IS2	M2m-38	+	571894
IS2	M35-077	+	572190
IS2	M101-075	-	573487
IS2	wt-17	+	585418
IS2	M2m-91	+	602860
IS2	M2m-53	+	629110
IS2	M88-31	-	948765
IS2	M2m-12	+	1037565
IS2	wt-62	-	1207435
IS2	M35-076	+	1208994
IS2	M2m-12	-	1215540
IS2	M35-069	+	1216280
IS2	M180-99	-	1432220
IS2	M133-087	+	1541753
IS2	M35-019	+	1559154
IS2	M88-47	-	1585983
IS2	M40-06	-	1587517
IS2	M133-052	+	1587600
IS2	M35-008	+	1588643
IS2	M91-02	+	1588719
IS2	M133-070	-	1594220
IS2	M2m-05	+	1594416
IS2	wt76	-	1595034
IS2	M133-071	+	1630901
IS2	M88-60	+	1635420
IS2	M35-016	-	1641890
IS2	M91-33	+	1647723
IS2	M2m-11	+	1649169
IS2	M88-41	+	1649992
IS2	M2m-39	+	1650326
IS2	M6-17	+	1650376
IS2	M88-26	-	1650557
IS2	M2m-01	-	1669981
IS2	M91-68	+	1771328
IS2	M40-41	-	1801481
IS2	M91-45	+	1801772
IS2	M88-39	-	1807370
IS2	M133-050	+	1840207
IS2	M35-069	-	1868629
IS2	M88-44	-	2036931
IS2	M180-85	+	2068529
IS2	M2m-93	+	2285899
IS2	M91-30	+	2313675
IS2	M180-38	-	2318097
IS2	M101-013	+	2363391
IS2	M180-19	+	2379151
IS2	M133-009	-	2468821
IS2	M2m-05	+	2758783
IS2	M91-02	+	2764555
IS2	M91-52	-	3289743
IS2	wt99	-	3361375
IS2	M35-009	-	3361721
IS2	M101-019	+	3363402
IS2	M6-1	-	3364814
IS2	M2m-91	+	3365126
IS2	M88-38	+	3900420
IS2	M88-09	-	4002843
IS2	M40-21	+	4341448
IS2	M91-33	+	4346539
IS2	M133-011	+	4383823
IS2	M91-69	+	4537728
IS2	M2m-91	+	4540332
IS2	M133-070	+	4569664
IS3	M2m-78	-	292033
IS3	wt90	+	315698
IS3	M2m-78	+	1200206
IS3	M2m-26	+	1636134
IS3	M2m-83	+	1905625
IS3	wt1	-	2487459
IS3	M2m-95	-	2771070
IS3	M2m-33	+	3580281
IS3	M2m-84	+	3768435
IS3	M40-07	+	3795898
IS4	M133-020	+	415409
IS4	wt16	+	840455
IS4	M101-039	+	884429
IS4	M61-27	-	3383859
IS4	M35-077	-	3480628
IS4	M133-046	-	3929199
IS4	M180-36	+	3929199
IS4	M35-107	+	3929200
IS5	M180-99	+	89170
IS5	M180-99	+	89347
IS5	M91-32	+	149838
IS5	M101-079	-	149940
IS5	M40-61	-	152393
IS5	M35-108	-	153896
IS5	M35-026	-	234050
IS5	M40-07	-	246341
IS5	M91-37	+	252775
IS5	M91-20	-	253159
IS5	M6-26	-	259409
IS5	M133-034	+	284571
IS5	M133-046	-	292080
IS5	M88-38	+	292373
IS5	wt1	+	294308
IS5	M2m-41	+	301815
IS5	M133-111	+	302626
IS5	wt70	+	309954
IS5	M35-026	+	310599
IS5	M133-046	-	310602
IS5	wt-41	+	310603
IS5	M88-33	+	310889
IS5	M88-17	-	316004
IS5	mutL25	-	317205
IS5	M35-076	+	318093
IS5	mutL38	+	318692
IS5	M40-68	-	319407
IS5	M88-41	-	319407
IS5	M91-06	+	324785
IS5	wt99	-	330568
IS5	M180-50	+	344143
IS5	M2m-84	+	345651
IS5	wt-63	+	380483
IS5	M88-33	-	380553
IS5	M40-36	-	384388
IS5	M94-33	-	393573
IS5	M40-35	-	484961
IS5	M35-048	+	512570
IS5	M91-58	+	515838
IS5	M133-113	+	538411
IS5	M101-039	-	542746
IS5	M133-009	+	543612
IS5	M133-028	+	568268
IS5	M180-88	+	569816
IS5	M35-076	+	571023
IS5	M180-33	+	571117
IS5	M2m-32	+	571144
IS5	M2m-33	+	571144
IS5	M101-073	+	576000
IS5	M35-008	+	576002
IS5	M88-76	+	576639
IS5	M40-33	+	577907
IS5	M94-13	+	579071
IS5	M2m-53	+	579083
IS5	M35-016	+	583201
IS5	M88-39	-	602647
IS5	M133-097	+	636972
IS5	M180-01	-	654493
IS5	wt-41	-	654988
IS5	wt-100	+	676037
IS5	M40-33	+	677793
IS5	M88-09	+	682368
IS5	M101-041	-	728703
IS5	M6-14	-	735420
IS5	M133-073	-	735559
IS5	M88-38	+	737806
IS5	M35-014	-	820139
IS5	mutL32	-	849642
IS5	M101-041	+	872016
IS5	wt-38	-	888893
IS5	M40-17	+	988273
IS5	M101-023	-	1005000
IS5	M40-23	+	1050567
IS5	M101-049	+	1050689
IS5	M91-08	+	1051003
IS5	M88-21	-	1078536
IS5	M88-62	-	1092122
IS5	mutL25	-	1094885
IS5	M40-47	-	1101438
IS5	M88-29	+	1101672
IS5	M94-35	+	1101672
IS5	M6-1	+	1102662
IS5	M133-030	-	1104947
IS5	M91-40	-	1108383
IS5	M40-40	+	1120203
IS5	M133-097	+	1122273
IS5	M91-30	+	1195750
IS5	M133-069	-	1196401
IS5	M180-36	+	1196603
IS5	M91-35	+	1208408
IS5	M35-107	+	1211928
IS5	M40-55	+	1213536
IS5	M40-39	+	1221485
IS5	M133-054	+	1241368
IS5	M2m-93	-	1255915
IS5	M35-113	+	1292421
IS5	M101-017	-	1306984
IS5	M101-037	-	1313111
IS5	M61-1	-	1313414
IS5	M94-47	-	1342761
IS5	M91-01	+	1366158
IS5	M91-45	-	1369478
IS5	M91-32	-	1370154
IS5	M40-10	+	1380950
IS5	M22-71	-	1397616
IS5	M133-001	+	1402892
IS5	M101-035	+	1423259
IS5	M133-067	+	1430513
IS5	M133-069	+	1430513
IS5	@M40-28	-	1430513
IS5	M91-45	+	1432183
IS5	M2m-32	+	1432191
IS5	M91-33	+	1432191
IS5	M133-103	-	1468984
IS5	M2m-51	+	1475141
IS5	M40-35	+	1476618
IS5	M40-11	+	1476619
IS5	M40-55	-	1476620
IS5	wt92	-	1489145
IS5	M91-38	-	1489869
IS5	wt-44	-	1490568
IS5	M40-45	+	1527780
IS5	M40-11	-	1528257
IS5	M2m-83	-	1543202
IS5	M88-76	+	1543754
IS5	M133-111	-	1565420
IS5	M180-90	+	1570156
IS5	M35-004	+	1576881
IS5	M133-032	-	1579046
IS5	M88-64	-	1580960
IS5	M133-034	+	1596484
IS5	M88-09	-	1596567
IS5	M35-107	+	1613897
IS5	M133-009	+	1620585
IS5	M94-15	-	1621914
IS5	M88-36	-	1622498
IS5	M40-50	+	1622501
IS5	M133-054	-	1622556
IS5	M40-50	+	1631155
IS5	M133-070	+	1632879
IS5	M133-070	+	1636843
IS5	M88-46	+	1636846
IS5	M180-15	-	1637300
IS5	M180-27	+	1645300
IS5	M88-20	-	1650215
IS5	M40-56	-	1674487
IS5	M133-052	-	1690399
IS5	M2m-05	-	1708440
IS5	M133-093	-	1751464
IS5	wt7	+	1777498
IS5	M101-043	+	1785537
IS5	M88-49	-	1789622
IS5	M2m-94	+	1816668
IS5	M88-38	+	1823981
IS5	M40-45	+	1854472
IS5	M2m-26	+	1854473
IS5	M133-085	+	1854494
IS5	M40-40	+	1854494
IS5	wt80	+	1856786
IS5	wt-35	+	1878836
IS5	M91-38	+	1892440
IS5	wt-100	-	1892441
IS5	M40-21	-	1903339
IS5	M88-67	+	1970293
IS5	M35-019	+	1976906
IS5	M35-069	+	1977512
IS5	wt-29	-	1984781
IS5	wt5	+	2000983
IS5	M40-28	-	2009993
IS5	M180-71	-	2022180
IS5	M101-019	+	2038746
IS5	M88-47	+	2039659
IS5	M101-029	+	2066221
IS5	M101-013	-	2086869
IS5	M133-018	-	2087870
IS5	M101-033	-	2101610
IS5	M40-06	+	2101610
IS5	M91-52	-	2101610
IS5	M40-16	+	2103566
IS5	M101-015	+	2104052
IS5	M101-031	+	2106664
IS5	M2m-24	+	2106665
IS5	M35-077	-	2121610
IS5	M180-09	+	2128306
IS5	M88-19	-	2135707
IS5	M88-41	-	2141236
IS5	M91-38	+	2149176
IS5	M101-039	+	2149261
IS5	M88-10	+	2189118
IS5	M133-028	+	2202550
IS5	M101-021	+	2235650
IS5	M101-003	-	2288500
IS5	M180-32	+	2341640
IS5	M2m-53	+	2362408
IS5	M2m-09	+	2362409
IS5	M22-58	-	2381846
IS5	M2m-95	-	2384003
IS5	M94-34	+	2385898
IS5	M35-090	+	2404361
IS5	M133-003	-	2406416
IS5	M40-28	+	2452816
IS5	M2m-33	+	2463291
IS5	M2m-32	+	2463292
IS5	M40-21	-	2468726
IS5	wt-38	-	2472006
IS5	M101-063	-	2474561
IS5	M88-08	+	2475749
IS5	wt-63	+	2488204
IS5	M2m-12	-	2492733
IS5	M40-43	+	2574058
IS5	M91-45	-	2574112
IS5	M133-095	+	2755508
IS5	mutL75	-	2755532
IS5	M40-72	+	2759036
IS5	M101-067	-	2759254
IS5	M40-68	-	2759369
IS5	M35-009	+	2772577
IS5	M40-35	-	2772968
IS5	wt-14	-	2782939
IS5	M133-113	-	2785309
IS5	M133-050	-	2786476
IS5	mutL2	-	2786633
IS5	M133-061	-	2786785
IS5	M91-37	+	2786815
IS5	M133-067	-	2796704
IS5	M91-31	+	2796704
IS5	M91-70	+	2797405
IS5	M88-62	+	2883864
IS5	M61-25	-	2900262
IS5	M180-15	+	2908300
IS5	M101-109	-	2919375
IS5	M133-083	-	2932246
IS5	M88-16	+	2986475
IS5	M180-09	-	2986993
IS5	M133-054	-	2989978
IS5	M101-085	+	2994208
IS5	M40-61	-	2997119
IS5	M101-015	-	3003180
IS5	M101-085	+	3009433
IS5	M133-095	+	3029943
IS5	M35-076	+	3066848
IS5	M88-10	+	3117210
IS5	M94-54	+	3119418
IS5	M35-019	+	3129628
IS5	M88-08	+	3130221
IS5	M91-70	+	3134182
IS5	M40-11	+	3134959
IS5	M91-52	+	3184174
IS5	M133-001	-	3184180
IS5	M2m-84	-	3189724
IS5	M40-15	-	3255712
IS5	M40-40	+	3260643
IS5	M91-05	+	3264992
IS5	wt-45	-	3265171
IS5	M133-018	-	3265939
IS5	M180-01	-	3266281
IS5	M133-111	+	3267034
IS5	wt-65	+	3267456
IS5	wt-49	-	3271028
IS5	M91-38	-	3284384
IS5	M40-16	-	3285202
IS5	M6-21	+	3285672
IS5	M133-001	-	3286477
IS5	M101-093	+	3338118
IS5	M101-021	+	3359472
IS5	M91-28	+	3363109
IS5	M2m-41	+	3363358
IS5	M35-016	+	3365087
IS5	M2m-44	+	3365319
IS5	M180-88	+	3365384
IS5	M133-115	+	3365390
IS5	M180-79	+	3366688
IS5	M40-36	-	3436010
IS5	M101-015	-	3453860
IS5	M40-64	+	3453860
IS5	M91-45	-	3580635
IS5	M40-32	+	3580871
IS5	wt-50	-	3580871
IS5	M91-02	+	3582414
IS5	M91-31	+	3592682
IS5	M22-78	+	3629165
IS5	M2m-24	-	3629165
IS5	M133-020	+	3630523
IS5	M88-18	-	3631479
IS5	M91-05	-	3632765
IS5	M101-013	-	3633524
IS5	M91-15	-	3643233
IS5	M180-34	+	3648715
IS5	M40-11	+	3648917
IS5	M101-033	+	3648975
IS5	M133-063	+	3649603
IS5	M101-017	+	3649604
IS5	M101-085	+	3653517
IS5	M101-007	-	3654749
IS5	M40-42	+	3655738
IS5	M101-035	-	3656996
IS5	M88-39	+	3657006
IS5	M2m-09	-	3663310
IS5	M101-063	+	3694400
IS5	M133-095	-	3694450
IS5	@M40-25	+	3718699
IS5	M88-50	+	3720188
IS5	M101-043	-	3729482
IS5	M101-069	+	3749886
IS5	M133-070	+	3764113
IS5	M133-014	-	3764135
IS5	M35-051	+	3766621
IS5	M40-59	-	3767589
IS5	M40-61	+	3767865
IS5	M133-070	+	3770959
IS5	M88-49	+	3791868
IS5	M101-079	-	3794975
IS5	M101-019	-	3795602
IS5	M133-092	+	3798207
IS5	M101-063	+	3803148
IS5	M101-027	+	3857981
IS5	wt-61	+	3874242
IS5	wt-35	+	3888579
IS5	M88-75	+	3896707
IS5	M35-078	-	3900193
IS5	M101-013	-	3900194
IS5	wt-17	+	3904192
IS5	M91-28	+	3920528
IS5	wt-49	-	4044727
IS5	M101-037	-	4067274
IS5	M91-38	+	4087204
IS5	M133-075	-	4240343
IS5	M91-27	-	4248742
IS5	M133-014	+	4248800
IS5	M133-056	-	4266663
IS5	M101-109	+	4302152
IS5	M40-21	+	4304754
IS5	wt-14	+	4304905
IS5	wt-45	+	4304905
IS5	M88-32	+	4335857
IS5	wt-14	-	4347082
IS5	M88-09	+	4351279
IS5	M40-47	-	4352849
IS5	M40-36	-	4358816
IS5	M40-56	-	4425276
IS5	M133-069	-	4440285
IS5	M133-056	-	4474824
IS5	M101-087	+	4478867
IS5	M91-01	+	4489801
IS5	M6-27	-	4492643
IS5	wt-49	-	4495943
IS5	M101-015	+	4501717
IS5	M133-020	-	4501717
IS5	M133-028	-	4503748
IS5	M40-39	-	4503748
IS5	M91-29	-	4538455
IS5	M6-20	+	4538934
IS5	M88-67	+	4543809
IS5	M88-63	+	4554026
IS5	M133-050	-	4554779
IS5	M2m-12	+	4574998
IS5	M40-23	-	4577383
IS5	M88-37	-	4577383
IS5	M94-33	-	4578791
IS5	M133-105	+	4589349
IS5	M88-20	+	4589349
